"participant_id","age","sex","trip_id","trip_mode","trip_distance","stage_mode","stage_duration","ltpa_marg_met"
3,37,"female",6,"pedestrian",0.416666666666667,"pedestrian",10,0
3,37,"female",7,"pedestrian",0.416666666666667,"pedestrian",10,0
3,37,"female",8,"pedestrian",0.416666666666667,"pedestrian",10,0
3,37,"female",9,"pedestrian",0.416666666666667,"pedestrian",10,0
13,32,"male",30,"rail",10.72,"walk_to_pt",7,0
13,32,"male",30,"rail",10.72,"walk_to_pt",5,0
13,32,"male",31,"rail",6.1,"walk_to_pt",5,0
13,32,"male",31,"rail",6.1,"walk_to_pt",10,0
13,32,"male",32,"rail",9.10333333333333,"walk_to_pt",10,0
13,32,"male",32,"rail",9.10333333333333,"walk_to_pt",7,0
16,45,"male",35,"rail",9.42666666666666,"walk_to_pt",7,0
16,45,"male",35,"rail",9.42666666666666,"walk_to_pt",9,0
16,45,"male",36,"bus",8.05,"walk_to_pt",5,0
16,45,"male",36,"bus",8.05,"walk_to_pt",10,0
21,32,"male",44,"bus",10.4266666666667,"walk_to_pt",3,8.75
21,32,"male",44,"bus",10.4266666666667,"walk_to_pt",1,8.75
21,32,"male",45,"bus",13.1266666666667,"walk_to_pt",1,8.75
21,32,"male",45,"bus",13.1266666666667,"walk_to_pt",3,8.75
23,31,"female",47,"bus",3.02333333333333,"walk_to_pt",8,0
23,31,"female",47,"bus",3.02333333333333,"walk_to_pt",3,0
23,31,"female",48,"pedestrian",1.04166666666667,"pedestrian",25,0
23,31,"female",49,"bus",1.465,"walk_to_pt",5,0
23,31,"female",49,"bus",1.465,"walk_to_pt",1,0
23,31,"female",50,"car",3.22,"car",14,0
26,31,"male",55,"rail",9.79166666666667,"walk_to_pt",10,42
26,31,"male",55,"rail",9.79166666666667,"walk_to_pt",15,42
26,31,"male",56,"rail",8.125,"walk_to_pt",15,42
26,31,"male",56,"rail",8.125,"walk_to_pt",6,42
26,31,"male",57,"bus",3.79166666666667,"walk_to_pt",8,42
26,31,"male",57,"bus",3.79166666666667,"walk_to_pt",2,42
26,31,"male",58,"rail",5,"walk_to_pt",2,42
26,31,"male",58,"rail",5,"walk_to_pt",10,42
